"caso_id","llamante_quien_llama","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_indec_id"
"373965","Comisaría","Femenino","Sin datos","Física","Sin Datos","Sin Datos","Femenino","3","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-06-01 06:37:59","Ciudad Autónoma de Buenos Aires","02"
"373966","Comisaría","Femenino","Otro no familiar","Física","36","30 a 39 años","Femenino","3","1","Masculino","Espos@/compañer@ actual de la víctima","Llamante solicitó información y/o orientación","2018-06-01 06:44:41","Ciudad Autónoma de Buenos Aires","02"
"373960","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-06-01 06:54:37","Ciudad Autónoma de Buenos Aires","02"
"373956","Familiar de la víctima","Femenino","Otro familiar","Física","5","1 a 5 años","Masculino","1","1","Masculino","Pareja de la madre/padre de la víctima","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-06-01 07:30:45","Ciudad Autónoma de Buenos Aires","02"
"373956","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-06-01 07:33:26","Ciudad Autónoma de Buenos Aires","02"
"373960","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-06-01 08:43:45","Ciudad Autónoma de Buenos Aires","02"
"373960","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-06-01 09:42:04","Ciudad Autónoma de Buenos Aires","02"
"373967","Víctima","Femenino","Madre","Psicológica","38","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Llamante solicitó información y/o orientación","2018-06-01 11:37:57","Ciudad Autónoma de Buenos Aires","02"
"361875","Víctima","Femenino","Madre","Física","27","18 a 29 años","Femenino","4","1","Masculino","Ex espos@/ ex pareja de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-06-01 11:51:26","Ciudad Autónoma de Buenos Aires","02"
"373970","Víctima","Femenino","Madre","Económica y física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Ex espos@/ ex pareja de la víctima","Llamante solicitó información y/o orientación","2018-06-01 12:57:33","Ciudad Autónoma de Buenos Aires","02"
"2597","Otro sobre un caso que no es violencia familiar","Femenino","Sin datos","Otras","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-06-01 13:50:39","Ciudad Autónoma de Buenos Aires","02"
"373972","Comisaría","Femenino","Otro no familiar","Física","34","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Se planificó intervención para otro momento","2018-06-01 14:25:05","Ciudad Autónoma de Buenos Aires","02"
"373974","Comisaría","Masculino","Otro no familiar","Física","35","30 a 39 años","Femenino","2","1","Masculino","Ex espos@/ ex pareja de la víctima","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-06-01 17:22:44","Ciudad Autónoma de Buenos Aires","02"
"373976","Otro sobre un caso que no es violencia familiar","Femenino","Sin datos","Otras","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-06-01 17:55:28","Ciudad Autónoma de Buenos Aires","02"
"373977","Víctima","Femenino","Madre","Psicológica","Sin Datos","Sin Datos","Femenino","3","1","Femenino","Ex espos@/ ex pareja de la víctima","Llamante solicitó información y/o orientación","2018-06-01 18:09:00","Ciudad Autónoma de Buenos Aires","02"
"373978","Comisaría","Masculino","Padre","Física","35","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-06-01 19:12:51","Ciudad Autónoma de Buenos Aires","02"
