"caso_id","llamante_descripcion","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_indec_id"
"409580","Otra Institución","Femenino","Otro no familiar","Física","24","18 a 29 años","Femenino","3","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2018-12-01 00:21:55","Ciudad Autónoma de Buenos Aires","02"
"409581","Víctima","Masculino","No hay niñas/os","Psicológica","42","40 a 49 años","Masculino","1","1","NS/NC","Madre","Llamante solicitó información y/o orientación","2018-12-01 00:54:08","Ciudad Autónoma de Buenos Aires","02"
"361611","Víctima","Femenino","Madre","Física","40","40 a 49 años","NS/NC","3","1","Masculino","Ex espos@/pareja","La víctima no aceptó la intervención de Equipos Móviles","2018-12-01 01:07:19","Ciudad Autónoma de Buenos Aires","02"
"409582","Víctima","Masculino","Sin datos","Física","51","50 a 59 años","Femenino","1","1","Femenino","Espos@/compañer@ actual","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-12-01 02:03:04","Ciudad Autónoma de Buenos Aires","02"
"409583","Comisaría","Femenino","Otro no familiar","Física","40","40 a 49 años","Femenino","4","1","Masculino","Ex espos@/pareja","Se planificó intervención para otro momento","2018-12-01 02:29:03","Ciudad Autónoma de Buenos Aires","02"
"409584","Comisaría","Masculino","Otro no familiar","Física","50","50 a 59 años","Femenino","2","1","Masculino","Espos@/compañer@ actual","Está interviniendo o se deriva a otra institución","2018-12-01 05:05:22","Ciudad Autónoma de Buenos Aires","02"
"409582","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-12-01 07:35:38","Ciudad Autónoma de Buenos Aires","02"
"409585","Comisaría","Femenino","Otro no familiar","Física","49","40 a 49 años","Femenino","2","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2018-12-01 07:39:58","Ciudad Autónoma de Buenos Aires","02"
"409586","Víctima","Masculino","No hay niñas/os","Psicológica","43","40 a 49 años","Masculino","1","1","NS/NC","Madre","Llamante solicitó información y/o orientación","2018-12-01 07:47:12","Ciudad Autónoma de Buenos Aires","02"
"409587","Víctima","Masculino","Sin datos","Física","14","12 a 17 años","Masculino","2","1","Masculino","Pareja de la madre/padre","Llamante solicitó información y/o orientación","2018-12-01 15:39:09","Ciudad Autónoma de Buenos Aires","02"
"409588","Víctima","Femenino","No hay niñas/os","Física","40","40 a 49 años","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2018-12-01 15:53:31","Ciudad Autónoma de Buenos Aires","02"
"409594","Familiar de la víctima","Femenino","Madre","Física","29","18 a 29 años","Femenino","1","1","Masculino","Ex espos@/pareja","La víctima no aceptó la intervención de Equipos Móviles","2018-12-01 19:48:47","Ciudad Autónoma de Buenos Aires","02"
"409595","Víctima","Femenino","No hay niñas/os","Psicológica","26","18 a 29 años","Femenino","1","1","NS/NC","Padre","Llamante solicitó información y/o orientación","2018-12-01 19:52:00","Ciudad Autónoma de Buenos Aires","02"
"409596","Familiar de la víctima","Masculino","Padre","Psicológica","10","6 a 11 años","Femenino","1","1","Masculino","Otro conviviente","Se planificó intervención para otro momento","2018-12-01 19:57:39","Ciudad Autónoma de Buenos Aires","02"
"409597","Víctima","Femenino","Madre","Psicológica","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Padre","No había móviles y/o Equipos para realizar la intervención","2018-12-01 20:00:13","Ciudad Autónoma de Buenos Aires","02"
"409598","Víctima","Masculino","Padre","Física","Sin Datos","Sin Datos","Masculino","1","1","Femenino","Espos@/compañer@ actual","No había móviles y/o Equipos para realizar la intervención","2018-12-01 20:02:27","Ciudad Autónoma de Buenos Aires","02"
