"caso_id","llamante_descripcion","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_indec_id"
"414182","Víctima","Femenino","Padre","Física","22","18 a 29 años","Femenino","5","2","Masculino","Espos@/compañer@ actual","No había móviles y/o Equipos para realizar la intervención","2019-03-31 22:49:00","Ciudad Autónoma de Buenos Aires","02"
"414181","Vecina/o de la víctima","Femenino","Otro no familiar","Psicológica","10","6 a 11 años","Masculino","1","1","Femenino","Madre","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-03-31 21:37:12","Ciudad Autónoma de Buenos Aires","02"
"414180","Comisaría","Femenino","Otro no familiar","Física","35","30 a 39 años","Femenino","3","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-03-31 21:33:30","Ciudad Autónoma de Buenos Aires","02"
"414178","Víctima","Masculino","Padre","Física","41","40 a 49 años","Masculino","1","1","Femenino","Ex espos@/pareja","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-03-31 21:33:06","Ciudad Autónoma de Buenos Aires","02"
"414179","Víctima","Femenino","Otro familiar","Física","7","6 a 11 años","Femenino","4","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-03-31 21:27:43","Ciudad Autónoma de Buenos Aires","02"
"414177","Comisaría","Masculino","Otro no familiar","Física","40","40 a 49 años","Femenino","3","1","Masculino","Ex espos@/pareja","No había móviles y/o Equipos para realizar la intervención","2019-03-31 18:42:51","Ciudad Autónoma de Buenos Aires","02"
"414176","Otro/a Particular","Femenino","Otro no familiar","Psicológica","50","50 a 59 años","Femenino","2","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-03-31 18:12:33","Ciudad Autónoma de Buenos Aires","02"
"414175","Víctima","Femenino","Otro no familiar","Física","26","18 a 29 años","Femenino","2","1","Masculino","Ex espos@/pareja","La víctima no aceptó la intervención de Equipos Móviles","2019-03-31 18:04:54","Ciudad Autónoma de Buenos Aires","02"
"414174","Víctima","Femenino","Madre","Psicológica","20","18 a 29 años","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-03-31 17:47:00","Ciudad Autónoma de Buenos Aires","02"
"414173","Víctima","Femenino","Madre","Física","22","18 a 29 años","Femenino","3","2","Femenino","Abuel@","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-03-31 17:26:09","Ciudad Autónoma de Buenos Aires","02"
