"caso_id","llamante_descripcion","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_id"
"296347","Comisaría","Masculino","Madre","Física","45","40 a 49 años","Femenino","3","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2019-04-01 23:30:00","Ciudad Autónoma de Buenos Aires","02"
"296348","Comisaría","Masculino","No hay niñas/os","Física","72","Más de 60 años","Masculino","1","1","Femenino","Otro no conviviente","La víctima no aceptó la intervención de Equipos Móviles","2019-04-01 00:00:00","Ciudad Autónoma de Buenos Aires","02"
"296349","Comisaría","Femenino","Madre","Física","34","30 a 39 años","Femenino","1","2","Femenino","Otro no conviviente","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-01 01:30:00","Ciudad Autónoma de Buenos Aires","02"
"296350","Otro sobre un caso que no es violencia familiar","Masculino","Padre","Otras","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2019-04-01 05:20:00","Ciudad Autónoma de Buenos Aires","02"
"296351","Comisaría","Femenino","No hay niñas/os","Física","56","50 a 59 años","Masculino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-04-01 06:40:00","Ciudad Autónoma de Buenos Aires","02"
"296352","Comisaría","Femenino","No hay niñas/os","Psicológica","71","Más de 60 años","Femenino","1","1","Femenino","Herman@","La víctima no aceptó la intervención de Equipos Móviles","2019-04-01 02:30:00","Ciudad Autónoma de Buenos Aires","02"
"296353","Otro Particular","Femenino","Otro no familiar","Psicológica","1","1 a 5 años","Femenino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-04-01 10:00:00","Ciudad Autónoma de Buenos Aires","02"
"296354","Víctima","Femenino","No hay niñas/os","Física","39","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-04-01 11:00:00","Ciudad Autónoma de Buenos Aires","02"
"296355","Víctima","Femenino","Madre","Psicológica","Sin Datos","Sin Datos","Femenino","4","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-04-01 11:00:00","Ciudad Autónoma de Buenos Aires","02"
"296356","Víctima","Masculino","No hay niñas/os","Psicológica","80","Más de 60 años","Masculino","1","1","Femenino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-04-01 12:00:00","Ciudad Autónoma de Buenos Aires","02"
"296357","Comisaría","Femenino","No hay niñas/os","Física","25","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-04-01 13:15:00","Ciudad Autónoma de Buenos Aires","02"
"296358","Otra Institución","Masculino","Otro no familiar","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-04-01 13:55:00","Ciudad Autónoma de Buenos Aires","02"
"296359","Otro sobre un caso que no es violencia familiar","Femenino","Otro no familiar","Otras","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2019-04-01 14:10:00","Ciudad Autónoma de Buenos Aires","02"
"296360","Otro sobre un caso que no es violencia familiar","Femenino","Otro no familiar","Otras","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2019-04-01 14:30:00","Ciudad Autónoma de Buenos Aires","02"
"296361","Familiar de la víctima","Femenino","Madre","Psicológica","Sin Datos","Sin Datos","NS/NC","3","1","Masculino","Padre","Llamante solicitó información y/o orientación","2019-04-01 15:15:00","Ciudad Autónoma de Buenos Aires","02"
"296362","Familiar de la víctima","Masculino","Otro familiar","Física","11","6 a 11 años","Masculino","2","1","Masculino","Padre","No había móviles y/o Equipos para realizar la intervención","2019-04-01 15:40:00","Ciudad Autónoma de Buenos Aires","02"
"296363","Víctima","Femenino","No hay niñas/os","Psicológica","68","Más de 60 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-04-01 15:00:00","Ciudad Autónoma de Buenos Aires","02"
"296364","Comisaría","Femenino","Otro no familiar","Física","26","18 a 29 años","Femenino","2","1","Masculino","Espos@/compañer@ actual","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-01 16:10:00","Ciudad Autónoma de Buenos Aires","02"
"296365","Otro Particular","Femenino","No hay niñas/os","Física","91","Más de 60 años","Femenino","1","1","Femenino","Hij@","Llamante solicitó información y/o orientación","2019-04-01 15:25:00","Ciudad Autónoma de Buenos Aires","02"
"296366","Víctima","Femenino","No hay niñas/os","Física","21","18 a 29 años","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-04-01 17:00:00","Ciudad Autónoma de Buenos Aires","02"
"296367","Otra Institución","Masculino","Otro no familiar","Física","26","18 a 29 años","Femenino","2","1","Masculino","Espos@/compañer@ actual","Se planificó intervención para otro momento","2019-04-01 19:00:00","Ciudad Autónoma de Buenos Aires","02"
"296368","Familiar de la víctima","Femenino","No hay niñas/os","Física","40","40 a 49 años","Masculino","1","1","Femenino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-04-01 16:25:00","Ciudad Autónoma de Buenos Aires","02"
"296369","Ns/Nc","Masculino","No hay niñas/os","Física","Sin Datos","Sin Datos","Masculino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-04-01 19:00:00","Ciudad Autónoma de Buenos Aires","02"
"296370","Otra Institución","Masculino","No hay niñas/os","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Hij@","Llamante solicitó información y/o orientación","2019-04-01 16:50:00","Ciudad Autónoma de Buenos Aires","02"
"296371","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-01 18:00:00","Ciudad Autónoma de Buenos Aires","02"
"296372","Otra Institución","Femenino","No hay niñas/os","Física","Sin Datos","Sin Datos","NS/NC","1","1","Masculino","Hij@","Se planificó intervención para otro momento","2019-04-01 19:00:00","Ciudad Autónoma de Buenos Aires","02"
"296373","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-01 20:05:00","Ciudad Autónoma de Buenos Aires","02"
"296374","Comisaría","Masculino","Otro no familiar","Física","42","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2019-04-01 20:45:00","Ciudad Autónoma de Buenos Aires","02"
"296375","Comisaría","Masculino","No hay niñas/os","Física","35","30 a 39 años","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-04-01 21:45:00","Ciudad Autónoma de Buenos Aires","02"
"296376","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-01 22:30:00","Ciudad Autónoma de Buenos Aires","02"
"296377","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-01 22:30:00","Ciudad Autónoma de Buenos Aires","02"
